Customer Satisfaction Score,Response Time,Daily User Logins,Average Session Duration,Survey Response Rate,Transaction Amount,Product Rating,Preferred Communication Channel,Membership Status,Product Category Preference,High-Value Purchase Count,Customer Support Calls,Website Click-Through Rate,Newsletter Open Rate,Social Media Engagement Score,Referral Count,Account Age,Feedback Score,Product Return Rate,Marketing Email Click Rate,Subscription Status,Product Upsell Success,Customer Segment Group,Interest in New Product,Income Level
87,28.74,10,23.28,94.55,46.25,42,SMS,Yes,Platinum,58.98,57.55,11,35.2,81.24,17,88,12,No,47.77,0,0,B,No,Medium
25,93.02,18,69.50,96.47,11.95,40,SMS,Yes,Platinum,64.96,74.63,68,92.5,14.57,32,34,23,No,48.67,1,0,D,No,Medium
39,11.00,99,65.56,49.61,50.25,50,SMS,Yes,Platinum,2.38,51.25,38,26.1,63.46,36,40,2,No,12.21,0,0,D,Yes,Low
21,27.10,62,73.99,73.97,48.22,45,SMS,Yes,Gold,66.47,40.95,71,25.7,32.49,90,42,59,No,17.88,1,0,A,Yes,High
86,59.42,37,17.35,65.30,19.31,42,SMS,Yes,Gold,22.44,55.19,25,50.3,30.20,51,28,98,No,74.36,1,1,C,Yes,Medium
46,8.19,2,32.79,15.02,90.62,18,SMS,Yes,Platinum,47.77,18.11,27,41.9,36.46,35,13,91,No,44.00,1,0,D,Yes,High
1,68.14,88,2.52,72.52,99.88,64,SMS,Yes,Basic,74.94,58.78,4,21.3,7.88,11,2,42,No,85.57,0,0,C,Yes,Medium
64,78.22,8,70.85,74.27,55.90,21,SMS,Yes,Gold,46.06,11.08,18,9.7,24.25,26,25,21,No,81.86,1,0,B,Yes,Medium
71,34.46,59,99.26,30.16,93.05,32,SMS,Yes,Gold,6.11,62.71,76,47.2,10.53,24,68,90,No,56.04,0,0,C,No,Medium
81,19.22,58,6.64,24.69,17.22,34,SMS,Yes,Gold,21.27,36.42,33,23.6,99.32,39,94,39,No,11.92,1,0,B,No,Medium
62,13.29,7,82.78,42.47,51.83,18,SMS,Yes,Basic,76.54,50.11,78,11.5,6.40,16,77,76,No,3.10,1,0,B,Yes,High
76,25.58,53,31.45,22.56,96.96,91,SMS,Yes,Platinum,25.57,16.85,38,53.0,9.74,57,2,89,No,73.31,1,1,D,Yes,High
47,31.53,36,40.58,95.18,25.86,49,SMS,Yes,Platinum,5.88,95.30,19,98.0,17.56,44,31,43,No,96.53,1,0,D,Yes,Low
98,42.34,20,34.60,73.70,65.91,78,SMS,Yes,Basic,10.79,9.43,72,31.5,65.86,55,99,89,No,26.17,0,1,D,No,Medium
10,33.27,16,78.18,70.05,8.84,62,SMS,Yes,Gold,31.19,88.71,42,85.5,78.30,82,99,75,No,20.54,0,0,B,No,Medium
47,89.88,75,94.40,22.66,53.11,32,SMS,Yes,Basic,23.33,70.48,77,56.9,27.08,41,10,95,No,6.56,1,0,A,No,Medium
27,0.61,80,42.41,64.24,28.70,14,SMS,Yes,Gold,13.76,58.05,73,28.4,73.51,18,34,74,No,27.05,1,0,D,Yes,Low
24,44.57,79,24.75,49.61,50.25,50,SMS,Yes,Platinum,76.13,74.40,41,11.9,28.07,51,87,97,No,35.07,1,0,D,Yes,High
8,42.01,62,78.88,81.03,99.24,9,SMS,Yes,Basic,26.64,6.94,31,98.4,89.94,40,88,3,No,72.68,1,0,B,No,Medium
13,35.61,31,88.01,25.53,35.35,14,SMS,Yes,Basic,43.51,39.15,18,13.4,89.66,7,10,25,No,8.54,0,1,B,Yes,High
70,78.00,83,26.84,68.70,13.49,51,SMS,Yes,Gold,19.47,42.06,89,53.2,74.85,17,11,24,No,54.81,0,0,B,Yes,High
8,69.90,49,19.30,59.26,54.46,9,SMS,Yes,Platinum,68.75,19.97,76,91.2,44.19,24,40,25,No,65.05,1,1,C,Yes,Low
66,93.06,7,41.57,72.94,66.77,23,SMS,Yes,Platinum,76.76,96.32,60,92.9,69.04,91,16,82,No,2.74,1,1,C,Yes,Low
90,99.91,39,25.47,49.61,50.25,50,SMS,Yes,Platinum,44.19,8.52,87,4.7,38.06,10,77,31,No,53.15,0,0,B,Yes,Low
13,49.95,23,79.83,93.11,0.43,23,SMS,Yes,Gold,89.19,63.72,26,78.3,20.27,97,1,57,No,40.76,0,1,D,No,Medium
89,81.11,16,82.65,49.61,50.25,50,SMS,Yes,Gold,54.48,92.95,62,21.4,72.51,30,27,39,No,96.91,0,0,C,No,Medium
42,97.07,49,65.75,1.53,30.15,89,SMS,Yes,Platinum,48.62,56.65,38,62.0,31.90,39,97,11,No,4.33,1,1,D,No,Low
75,97.60,62,11.17,8.85,77.75,65,SMS,Yes,Basic,56.62,58.50,21,62.9,77.06,89,74,58,No,48.51,0,0,C,Yes,Medium
99,58.63,3,39.61,49.61,50.25,50,SMS,Yes,Gold,25.54,94.86,62,23.0,38.40,72,30,88,No,26.45,1,1,B,No,Low
21,27.16,62,74.53,75.19,0.86,65,SMS,Yes,Gold,79.74,34.39,23,31.0,43.96,21,61,88,No,44.67,0,0,B,Yes,Low
25,36.63,11,98.77,49.61,50.25,50,SMS,Yes,Gold,67.60,63.87,85,1.4,92.92,83,94,79,No,20.31,0,1,C,No,Medium
5,77.54,90,76.41,82.54,59.56,89,SMS,Yes,Basic,80.92,64.14,58,72.6,84.03,86,18,20,No,13.18,1,0,B,No,High
56,11.11,78,75.81,30.76,32.86,22,SMS,Yes,Platinum,23.88,17.19,5,4.6,18.71,10,56,36,No,59.41,1,1,C,Yes,High
32,1.71,90,92.35,5.09,0.50,82,SMS,Yes,Platinum,86.12,6.86,26,97.3,23.12,13,86,12,No,32.34,0,0,A,Yes,Low
36,84.69,72,90.54,96.40,30.01,53,SMS,Yes,Basic,86.78,53.55,57,55.5,75.50,15,61,47,No,51.96,0,0,B,No,High
35,37.59,77,58.06,40.16,63.61,73,SMS,Yes,Gold,23.19,42.70,80,35.1,1.75,48,100,35,No,10.13,1,0,C,No,Low
25,68.28,61,86.15,43.01,5.19,57,SMS,Yes,Basic,31.61,76.58,32,23.9,64.86,5,17,41,No,34.72,1,1,A,No,Low
16,6.97,88,33.14,35.03,87.77,71,SMS,Yes,Gold,95.80,90.91,24,80.4,40.94,68,17,54,No,53.62,0,1,C,Yes,Medium
89,39.00,84,51.25,86.22,66.28,51,SMS,Yes,Platinum,38.12,16.67,78,99.0,27.90,92,13,95,No,34.66,1,0,B,Yes,Medium
54,92.76,59,84.97,84.09,91.92,7,SMS,Yes,Basic,45.99,83.75,32,46.3,20.07,25,66,12,No,52.80,0,1,C,Yes,High
35,93.65,3,58.03,59.74,78.79,95,SMS,Yes,Basic,96.73,89.08,67,85.7,8.52,38,1,18,No,88.56,0,0,C,Yes,High
65,32.62,58,42.41,55.86,14.71,40,SMS,Yes,Gold,90.89,63.21,31,78.3,49.70,19,75,13,No,75.88,0,1,A,Yes,Medium
83,70.86,58,10.94,71.09,69.05,31,SMS,Yes,Platinum,36.76,11.68,22,76.9,27.14,0,100,21,No,92.69,1,1,B,No,High
36,48.25,84,85.34,84.59,59.72,48,SMS,Yes,Platinum,27.70,32.97,84,5.2,92.76,0,94,45,No,67.42,0,0,C,No,High
82,29.52,43,28.18,44.60,0.51,30,SMS,Yes,Platinum,58.38,29.30,95,39.2,21.69,55,75,1,No,82.50,0,1,A,No,High
34,7.08,21,62.79,2.83,59.22,96,SMS,Yes,Gold,46.51,39.30,97,99.0,41.06,15,91,79,No,36.54,0,1,D,No,High
92,50.03,23,0.29,49.61,50.25,50,SMS,Yes,Gold,56.45,45.26,46,59.0,52.64,13,20,14,No,52.86,0,1,B,Yes,Low
74,69.52,80,88.45,75.80,84.45,35,SMS,Yes,Platinum,54.85,36.66,87,32.3,15.36,64,4,38,No,29.52,0,1,D,Yes,High
57,83.62,49,40.67,61.48,65.77,75,SMS,Yes,Basic,48.04,13.49,79,3.1,99.25,83,67,97,No,5.64,0,0,B,Yes,Low
50,47.47,30,53.99,24.84,26.10,76,SMS,Yes,Gold,63.86,81.40,96,74.6,42.89,30,13,63,No,67.77,1,1,D,Yes,Low
61,5.14,55,6.39,17.59,11.30,35,SMS,Yes,Gold,8.64,60.35,69,29.5,60.28,78,35,53,No,2.36,1,0,C,No,Low
59,69.93,71,76.33,6.72,41.28,30,SMS,Yes,Gold,17.85,30.50,64,57.9,86.88,79,97,60,No,86.05,1,1,C,Yes,Low
78,83.79,14,31.48,42.49,83.84,89,SMS,Yes,Basic,40.96,48.67,77,89.2,33.73,53,65,33,No,87.58,0,0,C,No,Low
9,87.01,59,98.96,2.56,83.15,79,SMS,Yes,Platinum,51.85,40.13,91,9.3,47.31,65,61,26,No,70.86,1,1,C,No,Medium
99,2.33,38,18.05,55.56,24.32,74,SMS,Yes,Platinum,87.54,36.13,43,22.1,42.53,23,67,50,No,31.27,0,0,A,Yes,Low
27,8.29,3,52.59,33.71,96.38,17,SMS,Yes,Basic,96.96,80.26,63,69.7,99.14,59,10,6,No,65.76,0,1,B,No,High
3,96.10,56,56.34,94.36,92.94,22,SMS,Yes,Gold,23.98,41.30,58,70.1,21.02,84,85,63,No,81.30,1,1,C,Yes,Low
2,52.22,77,79.04,73.47,52.94,65,SMS,Yes,Basic,84.64,31.29,52,0.8,68.74,20,48,21,No,48.32,1,0,C,No,High
89,73.69,17,47.22,98.89,64.37,13,SMS,Yes,Gold,91.62,8.22,31,29.8,99.60,56,88,43,Yes,28.66,0,0,A,Yes,Low
41,3.14,41,55.00,15.18,18.39,46,SMS,Yes,Platinum,14.01,18.12,85,16.3,66.59,42,97,7,Yes,49.14,0,1,C,Yes,Low
92,36.09,42,76.11,79.38,8.41,70,SMS,Yes,Basic,4.50,36.02,26,38.2,58.03,73,61,68,Yes,87.38,0,0,D,No,High
13,28.78,98,34.69,41.89,0.64,72,SMS,Yes,Basic,77.74,72.62,96,40.7,71.85,21,70,1,Yes,42.53,0,0,C,No,High
18,61.33,66,2.59,54.04,78.50,7,SMS,Yes,Gold,278.70,31.84,90,33.1,53.13,3,98,82,Yes,6.08,1,1,C,Yes,High
84,28.14,58,77.74,49.08,83.06,13,SMS,Yes,Platinum,36.63,8.35,64,55.2,4.03,75,83,91,Yes,45.26,0,1,C,No,High
9,2.14,43,48.12,82.27,41.44,28,SMS,Yes,Platinum,11.30,31.92,1,22.0,78.75,23,11,95,Yes,6.00,1,1,A,No,Low
93,57.20,44,25.02,13.37,40.26,92,SMS,Yes,Platinum,40.88,4.51,58,48.4,66.67,54,40,74,Yes,54.10,1,0,D,Yes,High
89,41.49,1,78.97,88.09,17.47,92,SMS,Yes,Gold,44.49,56.40,32,15.9,74.65,0,58,86,Yes,33.29,0,1,A,No,High
23,4.14,17,4.62,46.86,58.66,4,SMS,Yes,Gold,62.80,10.47,89,91.7,32.50,62,49,94,Yes,96.00,0,0,B,Yes,Medium
86,70.25,64,45.89,46.71,40.62,62,SMS,Yes,Platinum,92.45,2.47,11,44.5,26.29,41,12,13,Yes,75.91,1,0,B,No,High
27,66.37,37,21.90,40.86,76.33,48,SMS,Yes,Basic,43.33,37.47,61,5.8,69.13,78,40,17,Yes,63.72,1,1,A,Yes,Low
46,62.41,25,21.46,81.43,70.22,77,SMS,Yes,Gold,85.72,89.21,83,4.3,82.09,90,6,42,No,23.28,0,0,A,Yes,Low
41,66.58,42,4.19,71.99,28.10,5,SMS,Yes,Gold,44.79,95.06,47,7.9,55.19,9,10,85,No,67.87,1,0,D,Yes,High
52,22.84,66,5.18,48.48,71.50,43,SMS,Yes,Gold,28.41,93.88,61,74.5,90.22,55,86,54,No,44.51,1,0,D,Yes,High
64,34.79,17,22.46,49.61,50.25,50,SMS,Yes,Basic,29.21,45.09,26,34.0,90.76,33,79,63,No,81.78,1,0,D,Yes,High
41,14.58,16,79.78,82.90,56.00,30,SMS,Yes,Platinum,0.33,45.03,87,33.8,72.66,66,15,77,No,72.79,0,0,A,No,High
73,0.84,10,59.71,0.65,90.89,49,SMS,Yes,Platinum,92.72,11.62,78,57.8,58.55,78,22,53,No,9.45,0,0,A,Yes,Low
59,90.39,63,98.56,3.10,70.41,3,SMS,Yes,Basic,30.95,15.91,72,90.5,18.36,92,14,74,No,14.74,0,1,A,Yes,High
97,18.55,54,44.91,91.89,1.06,99,SMS,Yes,Gold,85.25,56.20,66,64.9,36.40,8,81,29,No,60.86,1,0,C,No,High
16,94.41,41,86.05,22.05,2.90,57,SMS,Yes,Basic,4.73,4.50,22,57.9,50.56,35,9,23,No,74.57,1,1,C,No,Medium
41,91.58,61,29.44,56.45,99.21,85,SMS,Yes,Gold,23.12,89.56,88,4.0,66.97,31,67,91,No,41.44,0,1,D,No,Low
34,76.26,78,72.58,3.91,13.30,94,SMS,Yes,Platinum,64.13,35.17,17,88.4,98.85,5,55,26,No,34.61,0,0,A,Yes,High
85,36.34,17,45.55,49.84,47.84,81,SMS,Yes,Basic,22.47,12.95,87,5.6,11.76,6,42,53,No,51.56,0,0,A,No,Medium
22,84.71,34,35.63,91.60,97.56,90,SMS,Yes,Basic,29.38,95.30,88,24.1,48.92,7,95,57,No,29.24,1,0,D,Yes,Medium
8,59.27,51,35.92,56.61,7.27,94,SMS,Yes,Gold,9.55,17.86,42,73.8,27.23,44,93,30,No,15.78,1,0,A,Yes,High
60,60.42,7,73.26,46.89,72.31,83,SMS,Yes,Platinum,20.15,0.06,96,44.1,1.31,1,29,1,No,6.29,1,1,A,Yes,Low
3,77.77,6,83.84,49.61,50.25,50,SMS,Yes,Platinum,43.95,0.53,48,65.1,1.39,62,65,16,No,96.43,1,0,C,No,Medium
30,94.03,96,81.25,35.08,14.36,60,SMS,Yes,Platinum,74.67,78.31,50,79.2,2.55,68,24,27,No,19.24,0,1,A,Yes,Low
56,34.95,64,42.20,81.16,43.16,57,SMS,Yes,Gold,39.70,27.60,61,94.3,13.26,80,54,53,No,60.59,0,0,B,Yes,High
84,19.84,32,51.69,57.16,19.38,23,SMS,Yes,Gold,93.29,30.83,86,66.6,95.78,27,27,70,No,82.46,1,0,D,No,Low
68,4.71,66,47.83,96.16,60.72,61,SMS,Yes,Platinum,65.61,31.52,35,89.3,57.94,10,31,8,No,17.33,0,0,A,No,Medium
34,51.32,91,35.00,33.59,81.98,32,SMS,Yes,Basic,93.33,22.48,55,13.7,67.47,19,5,82,No,10.85,1,1,C,Yes,Medium
13,6.13,32,8.68,53.55,1.45,44,SMS,Yes,Gold,35.10,34.13,99,71.9,51.39,58,62,2,No,64.92,0,0,D,Yes,Medium
20,14.37,63,52.19,57.59,43.59,47,SMS,Yes,Gold,95.78,19.00,29,19.2,2.05,27,5,15,No,2.07,0,1,B,No,Medium
74,19.23,84,94.50,23.63,68.65,75,SMS,Yes,Gold,17.31,6.16,56,62.5,91.61,54,26,6,No,47.89,1,0,B,No,Medium
78,51.29,33,80.58,44.69,0.35,94,SMS,Yes,Basic,16.24,47.40,4,35.5,73.10,24,12,51,No,67.58,0,0,D,Yes,Low
36,96.21,44,95.97,76.91,71.85,49,SMS,Yes,Platinum,90.45,79.43,80,43.3,7.11,68,37,87,No,14.53,0,1,D,Yes,High
24,76.80,2,77.89,52.68,93.62,100,SMS,Yes,Platinum,20.42,9.92,58,80.5,26.18,42,55,91,No,23.69,1,0,D,No,High
47,85.49,16,23.16,49.61,50.25,50,Email,Yes,Basic,30.21,16.21,93,39.8,44.97,80,51,12,No,63.05,1,1,C,Yes,Low
88,4.72,4,64.34,54.80,15.53,55,Phone,Yes,Gold,82.75,21.28,41,52.8,50.45,92,29,6,No,21.71,1,1,D,Yes,Low
58,97.08,82,16.90,80.33,84.11,69,SMS,Yes,Basic,73.76,12.28,26,19.4,84.12,68,45,83,No,91.36,1,0,A,Yes,Low
42,79.43,49,49.29,43.09,22.86,92,Email,Yes,Gold,43.42,90.38,100,36.2,15.40,31,33,64,No,76.85,0,1,D,Yes,Low
93,78.29,60,90.62,60.04,52.12,36,Phone,Yes,Platinum,53.74,55.47,65,50.6,25.68,86,66,86,No,63.71,0,1,C,No,Medium
61,53.38,63,16.72,68.48,33.58,45,SMS,Yes,Basic,83.83,48.34,32,48.8,68.88,35,41,56,No,20.91,0,0,C,Yes,High
38,26.92,63,85.03,63.33,54.25,67,Email,Yes,Basic,9.82,26.05,53,11.5,93.51,85,97,4,No,80.37,1,1,B,No,Medium
12,91.48,6,10.01,93.04,10.74,87,Phone,Yes,Gold,53.44,99.72,88,31.0,38.63,39,73,34,No,74.71,0,0,C,Yes,Medium
67,50.54,65,86.75,61.35,65.96,61,SMS,Yes,Platinum,69.31,42.55,41,75.9,0.56,68,49,38,No,17.29,1,0,B,Yes,Medium
80,63.97,19,27.72,7.92,94.57,89,Email,Yes,Platinum,74.71,49.18,24,27.9,73.62,78,53,12,No,84.48,0,0,B,Yes,High
9,95.34,83,11.38,87.66,68.30,33,Phone,Yes,Platinum,46.93,50.07,29,38.8,56.78,95,60,15,No,85.10,1,1,C,Yes,Low
17,39.14,76,90.69,99.86,51.16,82,SMS,Yes,Gold,97.55,0.34,31,93.0,30.67,23,73,75,No,94.69,1,1,D,No,High
13,13.10,93,9.48,0.41,38.90,10,Email,Yes,Gold,42.55,53.90,23,29.8,10.10,45,61,93,No,72.31,0,0,C,Yes,Low
60,64.32,30,99.24,49.61,50.25,50,Phone,Yes,Platinum,41.01,62.59,8,75.7,76.84,47,96,58,No,92.43,0,1,B,Yes,High
47,33.98,52,72.84,0.07,88.72,89,SMS,Yes,Basic,13.78,50.75,9,58.9,31.81,83,80,100,No,6.18,0,0,A,Yes,Medium
4,44.29,53,26.80,87.20,16.11,25,Email,Yes,Gold,27.79,72.25,43,63.6,92.82,84,7,85,No,35.01,0,0,D,Yes,Medium
38,87.38,55,6.75,49.61,50.25,50,Phone,Yes,Gold,65.82,72.99,79,9.1,58.15,38,14,20,No,16.15,1,1,B,Yes,Low
2,11.26,72,59.36,71.52,23.01,80,SMS,Yes,Gold,20.50,77.34,22,9.3,59.72,55,61,62,No,49.38,1,0,C,No,Low
2,55.72,38,60.39,36.02,71.77,2,Email,Yes,Basic,5.28,49.65,98,6.4,7.01,60,25,41,No,19.88,0,1,C,No,Medium
58,74.58,32,22.67,96.47,43.26,0,Phone,Yes,Platinum,3.01,29.15,93,93.3,31.10,84,44,65,No,51.60,1,0,A,Yes,Medium
97,82.77,23,44.16,43.98,38.70,4,SMS,Yes,Platinum,69.13,35.27,65,23.3,26.53,31,80,21,No,20.05,1,1,C,Yes,Low
22,0.91,68,11.49,49.61,50.25,50,Email,Yes,Basic,70.81,38.89,25,67.9,61.09,8,67,49,No,19.07,0,0,C,Yes,Low
56,71.03,15,72.90,46.15,3.38,23,Phone,Yes,Gold,98.74,86.85,83,50.1,80.71,27,56,39,No,7.26,1,0,A,No,Low
47,73.88,29,92.08,88.85,10.38,3,SMS,Yes,Basic,5.06,61.89,29,93.7,79.47,65,28,70,No,3.76,1,1,B,No,Low
45,47.04,32,74.34,52.21,91.40,65,Email,Yes,Gold,34.69,40.71,18,97.8,14.57,65,1,41,No,38.20,1,0,C,No,Medium
89,73.73,8,96.13,94.74,71.17,52,Phone,Yes,Platinum,66.52,62.91,19,35.8,72.31,2,64,77,No,7.62,1,0,A,No,Medium
86,53.04,48,84.83,56.31,57.87,43,SMS,Yes,Basic,34.35,99.37,34,25.6,35.39,59,91,79,No,85.90,0,1,C,No,Medium
65,40.18,62,38.23,31.11,35.31,80,Email,Yes,Basic,48.58,24.24,67,72.7,46.42,23,56,25,No,62.89,1,0,D,Yes,High
61,60.39,36,93.74,47.93,2.03,35,Phone,Yes,Gold,2.27,87.02,61,29.5,31.12,47,25,0,No,35.77,1,1,A,Yes,Low
18,4.67,74,12.50,2.57,58.72,1,SMS,Yes,Platinum,0.39,96.43,52,57.3,66.61,80,61,76,No,37.13,0,0,D,Yes,High
8,92.96,52,64.55,17.82,26.44,12,Email,Yes,Platinum,53.37,24.45,4,62.2,42.02,98,78,81,No,77.78,0,0,A,No,Low
46,3.69,4,65.77,95.17,77.74,47,Phone,Yes,Platinum,97.58,39.87,84,70.5,60.54,95,23,45,No,55.18,0,1,B,No,High
2,63.10,60,57.84,47.43,85.24,66,SMS,Yes,Gold,2.85,14.72,67,49.4,75.23,19,37,89,No,92.17,0,0,D,No,Low
2,92.16,56,11.18,21.49,85.22,51,Email,Yes,Gold,33.19,51.61,63,66.2,0.13,9,4,86,No,36.71,1,0,B,Yes,High
96,64.28,26,51.99,49.61,50.25,50,Phone,Yes,Platinum,68.72,23.21,56,35.7,24.02,90,38,28,No,19.73,1,1,A,No,Low
31,49.56,94,2.32,79.43,25.18,19,SMS,Yes,Basic,86.99,52.11,72,55.7,81.16,84,23,46,No,97.84,0,1,B,No,Low
38,37.93,78,13.45,30.58,60.86,42,Email,Yes,Gold,53.91,72.46,46,19.0,74.70,74,24,83,No,23.63,0,0,C,Yes,Medium
26,92.81,24,11.73,5.82,24.21,39,Phone,Yes,Gold,73.42,30.21,68,43.2,19.64,73,3,29,No,45.82,1,0,C,Yes,Medium
93,95.59,58,7.17,49.11,18.44,48,SMS,Yes,Gold,95.33,19.54,66,91.7,24.79,93,39,96,No,18.81,1,1,A,Yes,Low
63,44.93,79,33.20,49.61,50.25,50,Email,Yes,Basic,48.98,26.96,1,50.9,47.56,34,58,73,No,26.33,0,0,C,No,High
77,15.25,91,13.31,87.00,35.24,11,Phone,Yes,Platinum,94.97,32.79,61,89.2,63.01,36,99,19,No,79.67,0,0,A,Yes,Medium
97,89.19,21,11.70,36.42,59.23,87,SMS,Yes,Platinum,14.23,7.40,60,53.9,84.61,32,4,42,No,79.56,1,0,D,Yes,Medium
60,53.06,66,57.36,14.39,25.72,84,Email,Yes,Basic,0.77,31.19,5,48.2,82.18,29,85,70,No,64.46,0,1,B,Yes,High
5,15.33,32,46.23,85.85,18.73,35,Phone,Yes,Gold,25.66,77.24,51,8.6,62.70,57,34,1,No,40.57,0,1,B,Yes,High
69,60.84,99,26.10,26.63,12.63,49,SMS,Yes,Basic,95.76,96.38,74,38.9,86.52,88,91,64,No,9.11,0,1,C,Yes,Low
91,28.71,3,99.36,31.14,87.68,45,Email,Yes,Gold,25.77,95.11,6,27.5,89.31,48,60,65,No,1.77,1,0,D,Yes,High
73,45.82,86,27.85,20.38,83.17,33,Phone,Yes,Platinum,44.17,24.99,76,18.0,92.83,15,80,42,No,40.24,0,1,D,No,Low
97,0.50,66,85.65,93.40,14.40,70,SMS,Yes,Basic,34.60,31.34,12,6.6,11.53,88,1,69,No,56.79,1,1,D,No,High
97,65.13,20,44.79,49.65,75.80,67,Email,Yes,Basic,77.66,21.16,66,11.4,11.45,4,91,60,No,78.78,1,1,D,No,Medium
11,66.24,25,45.02,35.34,14.32,96,Phone,Yes,Gold,48.84,77.37,15,13.2,89.08,90,47,87,No,18.50,1,1,A,No,High
66,74.61,22,33.60,41.23,59.46,85,SMS,Yes,Platinum,8.74,51.29,14,53.9,76.78,24,85,33,No,46.53,1,1,A,Yes,Low
7,33.20,82,96.80,3.98,56.93,11,Email,Yes,Platinum,77.69,7.44,31,95.8,98.52,16,56,56,No,92.47,0,0,A,Yes,Medium
30,9.48,13,18.07,20.37,24.23,26,Phone,Yes,Platinum,90.73,55.31,79,92.4,16.31,43,43,35,No,81.60,1,1,C,Yes,Medium
52,26.11,25,82.95,38.06,45.07,84,SMS,Yes,Gold,42.52,82.98,94,46.5,45.61,50,72,67,No,6.39,0,0,D,Yes,High
64,10.79,97,5.82,43.82,53.68,79,Email,Yes,Gold,31.20,77.88,1,74.9,81.04,90,63,33,No,96.97,0,1,B,Yes,Medium
68,85.77,89,9.20,96.52,33.36,44,Phone,Yes,Platinum,40.06,37.33,3,46.3,72.41,30,46,22,No,6.05,0,1,B,No,Medium
60,73.20,66,73.09,76.23,58.92,37,SMS,Yes,Basic,35.77,134.77,22,67.1,17.29,78,92,96,No,95.82,0,0,C,Yes,High
16,12.77,47,96.81,97.14,22.79,32,Email,Yes,Gold,89.31,21.51,76,4.9,81.78,60,96,96,No,16.05,1,1,D,No,Medium
26,2.51,22,67.53,92.63,32.09,88,Phone,Yes,Gold,44.23,91.38,47,27.7,84.26,100,65,25,No,5.77,1,1,A,No,High
85,17.13,44,25.15,25.58,30.38,59,SMS,Yes,Gold,96.71,58.27,87,19.6,81.00,41,18,76,No,99.59,1,0,B,Yes,Medium
79,52.67,94,58.93,52.29,7.14,15,Email,Yes,Basic,81.01,62.76,96,23.8,54.48,41,54,27,No,62.48,0,0,B,Yes,Low
6,46.15,14,64.74,4.71,37.40,8,Phone,Yes,Platinum,55.55,23.90,91,92.3,85.45,54,7,9,No,87.58,1,1,D,No,Medium
62,23.15,26,72.41,80.26,11.61,19,SMS,Yes,Platinum,61.48,77.62,81,28.0,54.13,12,84,85,No,16.06,0,1,C,No,Low
61,87.66,38,90.23,3.69,11.28,41,Email,Yes,Basic,30.74,88.71,53,58.8,94.56,76,44,48,No,20.02,1,1,C,Yes,Medium
22,67.90,61,68.83,32.20,90.09,45,Phone,Yes,Gold,66.15,94.48,54,30.7,31.51,56,61,44,No,42.67,1,1,A,Yes,Medium
83,81.03,93,38.61,55.49,9.86,97,SMS,Yes,Basic,49.66,43.54,29,52.8,5.34,99,42,93,No,28.99,0,0,B,Yes,Medium
70,30.30,22,73.49,67.93,48.14,94,Email,Yes,Gold,29.66,10.45,30,97.2,96.29,76,52,78,No,0.35,0,0,C,No,High
62,14.61,72,42.27,35.33,80.72,51,Phone,Yes,Platinum,85.90,50.42,21,61.3,28.53,15,9,24,No,83.80,0,1,A,No,High
89,4.09,99,82.71,76.17,69.14,77,SMS,Yes,Basic,61.39,33.69,97,90.0,56.76,78,91,24,No,48.17,0,1,D,Yes,Medium
11,11.91,3,53.30,67.19,12.67,61,Email,Yes,Basic,75.51,1.68,15,99.6,73.35,46,63,85,No,32.47,0,0,D,Yes,Low
37,90.71,12,3.93,68.50,38.50,76,Phone,Yes,Gold,73.96,22.72,46,81.9,91.54,72,43,57,No,87.49,1,1,D,Yes,High
81,87.79,92,50.92,65.51,0.96,57,SMS,Yes,Platinum,79.76,5.70,40,69.6,2.97,24,89,13,No,58.06,1,1,D,Yes,Low
95,42.66,35,44.82,81.40,91.77,36,Email,Yes,Platinum,78.39,45.42,38,44.7,41.87,76,93,49,No,73.19,0,0,B,No,Low
99,63.73,33,25.00,20.95,40.16,19,Phone,Yes,Platinum,14.64,4.43,3,26.7,19.01,54,46,32,No,50.49,0,1,A,Yes,Medium
17,49.57,48,41.01,52.94,23.22,11,SMS,Yes,Gold,70.48,43.79,382,85.3,45.65,58,44,8,No,41.88,1,1,A,Yes,Low
4,64.67,95,17.12,41.71,57.55,45,Email,Yes,Gold,8.90,74.44,24,84.7,74.30,5,20,29,No,80.98,0,0,A,Yes,High
48,31.65,52,35.58,34.32,26.54,54,Phone,Yes,Platinum,15.09,4.28,43,22.5,42.05,33,54,72,No,6.20,0,1,C,Yes,Medium
89,9.00,95,85.67,83.18,86.37,8,SMS,Yes,Basic,32.77,83.02,25,24.4,67.59,10,36,30,No,51.45,1,0,D,No,Low
95,50.86,51,11.72,39.03,85.25,14,Email,Yes,Gold,54.65,15.05,22,28.6,38.48,92,37,52,No,73.60,1,0,A,Yes,Medium
92,56.48,83,40.95,8.67,99.41,17,Phone,Yes,Gold,28.93,60.11,100,5.3,77.84,13,2,64,No,17.63,0,1,A,No,Medium
89,55.29,93,92.65,46.16,58.24,23,SMS,Yes,Gold,31.30,31.30,10,56.0,24.48,15,23,25,No,38.59,1,1,A,Yes,Low
10,82.12,51,52.16,51.91,32.53,32,Email,Yes,Basic,72.46,35.63,22,21.3,8.18,9,17,2,No,30.64,0,1,D,No,Low
15,50.40,40,32.46,82.26,82.81,99,Phone,Yes,Platinum,59.15,89.63,94,72.7,34.78,49,62,83,No,36.54,1,1,D,No,High
